,eigentlich_variation,variation_frequency,variation_relative_frequency,Information,Entropy
0,aiŋɪç,179,0.16620241411327763,2.588986757279951,5.1696062389546125
1,jaiŋɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
2,ai,57,0.052924791086350974,4.239912520379466,5.1696062389546125
3,aiç,171,0.15877437325905291,2.6549500196583096,5.1696062389546125
4,ainklɪç,48,0.04456824512534819,4.487840033823051,5.1696062389546125
5,anɪʃ,7,0.0064995357474466105,7.265447612486604,5.1696062389546125
6,anɪç,8,0.007428040854224698,7.072802534544207,5.1696062389546125
7,ainglɪç,59,0.05478180129990715,4.190159485182366,5.1696062389546125
8,aiŋkɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
9,ainɪç,77,0.07149489322191271,3.8060159938493063,5.1696062389546125
10,aainɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
11,jaiŋlɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
12,anɪz,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
13,ɛŋɪç,4,0.003714020427112349,8.072802534544207,5.1696062389546125
14,aiŋɪʃ,13,0.012070566388115135,6.372362816403116,5.1696062389546125
15,jaing,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
16,aiŋlɪç,49,0.04549675023212628,4.458092690428999,5.1696062389546125
17,aintlɪç,4,0.003714020427112349,8.072802534544207,5.1696062389546125
18,aiɪç,23,0.02135561745589601,5.549240578487194,5.1696062389546125
19,ainklɪ,4,0.003714020427112349,8.072802534544207,5.1696062389546125
20,ɛɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
21,aih,4,0.003714020427112349,8.072802534544207,5.1696062389546125
22,ainɪz,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
23,aindɪç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
24,aiŋç,7,0.0064995357474466105,7.265447612486604,5.1696062389546125
25,aiʃ,12,0.011142061281337047,6.487840033823051,5.1696062389546125
26,aɪgn,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
27,aignlɪç,8,0.007428040854224698,7.072802534544207,5.1696062389546125
28,aɪŋɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
29,aiŋlɪ,5,0.004642525533890436,7.750874439656846,5.1696062389546125
30,alɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
31,aigŋlɪç,7,0.0064995357474466105,7.265447612486604,5.1696062389546125
32,ainklɪh,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
33,aiŋlɪʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
34,ɛignglɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
35,aiɪʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
36,aiŋɪ,6,0.005571030640668524,7.487840033823051,5.1696062389546125
37,ɛi,3,0.002785515320334262,8.487840033823051,5.1696062389546125
38,aingɪç,10,0.009285051067780872,6.750874439656846,5.1696062389546125
39,aiɪʒ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
40,jaiçɛ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
41,aigŋç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
42,aignɪç,20,0.018570102135561744,5.750874439656846,5.1696062389546125
43,aiŋliç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
44,aignglɪç,9,0.008356545961002786,6.902877533101895,5.1696062389546125
45,aɪç,4,0.003714020427112349,8.072802534544207,5.1696062389546125
46,ainglɪ,4,0.003714020427112349,8.072802534544207,5.1696062389546125
47,ainkɪç,18,0.016713091922005572,5.902877533101895,5.1696062389546125
48,aiŋtɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
49,aintɪç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
50,ainlɪç,7,0.0064995357474466105,7.265447612486604,5.1696062389546125
51,anç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
52,ainkç,8,0.007428040854224698,7.072802534544207,5.1696062389546125
53,aɪŋliç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
54,aignɪ,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
55,aiŋtlç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
56,ɔiŋɪ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
57,aignklɪç,4,0.003714020427112349,8.072802534544207,5.1696062389546125
58,aiŋiç,3,0.002785515320334262,8.487840033823051,5.1696062389546125
59,ɛiç,7,0.0064995357474466105,7.265447612486604,5.1696062389546125
60,aiglɪç,3,0.002785515320334262,8.487840033823051,5.1696062389546125
61,aːignglɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
62,ɛʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
63,ain,11,0.01021355617455896,6.61337091590691,5.1696062389546125
64,ainɪ,7,0.0064995357474466105,7.265447612486604,5.1696062389546125
65,aɪnglɪç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
66,aingliç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
67,aiŋtlɪç,6,0.005571030640668524,7.487840033823051,5.1696062389546125
68,ainɪʃ,11,0.01021355617455896,6.61337091590691,5.1696062389546125
69,aignɪʃ,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
70,ɛ,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
71,aigŋɪç,3,0.002785515320334262,8.487840033823051,5.1696062389546125
72,ailɪʒ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
73,aiɪ,5,0.004642525533890436,7.750874439656846,5.1696062389546125
74,aiɪh,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
75,aingl,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
76,aiŋɪʒ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
77,aigɪç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
78,aidɪʒ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
79,ainiç,6,0.005571030640668524,7.487840033823051,5.1696062389546125
80,aing,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
81,ainlç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
82,aihŋlɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
83,aiŋlɪf,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
84,aiçŋɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
85,aiɪf,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
86,aɪni,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
87,ənɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
88,ainkliç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
89,aːntʃɪ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
90,aaiŋɪh,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
91,jaiç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
92,ainʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
93,ailç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
94,haiŋç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
95,aiŋ,6,0.005571030640668524,7.487840033823051,5.1696062389546125
96,aigntç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
97,aaiŋɪç,3,0.002785515320334262,8.487840033823051,5.1696062389546125
98,aigndɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
99,ainç,14,0.012999071494893221,6.265447612486604,5.1696062389546125
100,ainlɪʒ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
101,ainlɪʃ,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
102,ɛinɪʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
103,aaiɪ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
104,aiz,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
105,aink,5,0.004642525533890436,7.750874439656846,5.1696062389546125
106,ɛiŋlɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
107,aːnɪç,3,0.002785515320334262,8.487840033823051,5.1696062389546125
108,ainkʃ,3,0.002785515320334262,8.487840033823051,5.1696062389546125
109,aiŋʃ,3,0.002785515320334262,8.487840033823051,5.1696062389546125
110,ainklɪçz,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
111,aingʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
112,jaintɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
113,aɪnɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
114,ɔʏç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
115,aiŋdɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
116,daɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
117,aigntɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
118,ɛnlɪç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
119,ɛinɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
120,ɛingɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
121,janɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
122,aintç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
123,aŋlɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
124,jainglɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
125,naiç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
126,nɪʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
127,jɛai,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
128,aigŋtɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
129,aignkɪç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
130,aaignklɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
131,ɔnɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
132,ainɪh,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
133,nɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
134,aaiç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
135,aɪ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
136,aɪgnɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
137,aintʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
138,ɛiɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
139,anglɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
140,ɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
141,ɛç,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
142,aːiç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
143,agnɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
144,aiŋih,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
145,jaaiglɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
146,sainɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
147,saignɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
148,aɪŋlɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
149,ɛis,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
150,ɛnɪ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
151,ainlɪ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
152,jaːnɪʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
153,jaaiɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
154,aiŋlɪh,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
155,ainɪf,2,0.0018570102135561746,9.072802534544207,5.1696062389546125
156,aŋɪç,3,0.002785515320334262,8.487840033823051,5.1696062389546125
157,aŋi,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
158,aiŋɪa,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
159,anlɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
160,ɛin,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
161,aːŋʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
162,ɛiʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
163,aaiɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
164,aiɪa,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
165,aːaiŋɪç,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
166,jaai,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
167,aŋɪʃ,1,0.0009285051067780873,10.072802534544207,5.1696062389546125
